From Date,To Date,PM2.5
21-11-2018 16:00,21-11-2018 20:00,
21-11-2018 20:00,22-11-2018 00:00,
22-11-2018 00:00,22-11-2018 04:00,
22-11-2018 04:00,22-11-2018 08:00,
22-11-2018 08:00,22-11-2018 12:00,
22-11-2018 12:00,22-11-2018 16:00,
22-11-2018 16:00,22-11-2018 20:00,
22-11-2018 20:00,23-11-2018 00:00,
23-11-2018 00:00,23-11-2018 04:00,
23-11-2018 04:00,23-11-2018 08:00,
23-11-2018 08:00,23-11-2018 12:00,
23-11-2018 12:00,23-11-2018 16:00,
23-11-2018 16:00,23-11-2018 20:00,
23-11-2018 20:00,24-11-2018 00:00,
24-11-2018 00:00,24-11-2018 04:00,
24-11-2018 04:00,24-11-2018 08:00,
24-11-2018 08:00,24-11-2018 12:00,
24-11-2018 12:00,24-11-2018 16:00,
24-11-2018 16:00,24-11-2018 20:00,
24-11-2018 20:00,25-11-2018 00:00,
25-11-2018 00:00,25-11-2018 04:00,
25-11-2018 04:00,25-11-2018 08:00,
25-11-2018 08:00,25-11-2018 12:00,
25-11-2018 12:00,25-11-2018 16:00,
25-11-2018 16:00,25-11-2018 20:00,
25-11-2018 20:00,26-11-2018 00:00,
26-11-2018 00:00,26-11-2018 04:00,
26-11-2018 04:00,26-11-2018 08:00,
26-11-2018 08:00,26-11-2018 12:00,
26-11-2018 12:00,26-11-2018 16:00,
26-11-2018 16:00,26-11-2018 20:00,
26-11-2018 20:00,27-11-2018 00:00,
27-11-2018 00:00,27-11-2018 04:00,
27-11-2018 04:00,27-11-2018 08:00,
27-11-2018 08:00,27-11-2018 12:00,
27-11-2018 12:00,27-11-2018 16:00,
27-11-2018 16:00,27-11-2018 20:00,
27-11-2018 20:00,28-11-2018 00:00,
28-11-2018 00:00,28-11-2018 04:00,
28-11-2018 04:00,28-11-2018 08:00,
28-11-2018 08:00,28-11-2018 12:00,
28-11-2018 12:00,28-11-2018 16:00,
28-11-2018 16:00,28-11-2018 20:00,
28-11-2018 20:00,29-11-2018 00:00,
29-11-2018 00:00,29-11-2018 04:00,
29-11-2018 04:00,29-11-2018 08:00,
29-11-2018 08:00,29-11-2018 12:00,
29-11-2018 12:00,29-11-2018 16:00,
29-11-2018 16:00,29-11-2018 20:00,
29-11-2018 20:00,30-11-2018 00:00,
30-11-2018 00:00,30-11-2018 04:00,
30-11-2018 04:00,30-11-2018 08:00,
30-11-2018 08:00,30-11-2018 12:00,
30-11-2018 12:00,30-11-2018 16:00,
30-11-2018 16:00,30-11-2018 20:00,54.33
30-11-2018 20:00,01-12-2018 00:00,56.86
01-12-2018 00:00,01-12-2018 04:00,72.8
01-12-2018 04:00,01-12-2018 08:00,55.81
01-12-2018 08:00,01-12-2018 12:00,59.36
01-12-2018 12:00,01-12-2018 16:00,53
01-12-2018 16:00,01-12-2018 20:00,
01-12-2018 20:00,02-12-2018 00:00,
02-12-2018 00:00,02-12-2018 04:00,
